FCLTY_NM,FCLTY_FLAG_NM,INDUTY_CD,INDUTY_NM,FCLTY_TY_CD,FCLTY_TY_NM,POSESN_MBY_CD,POSESN_MBY_CTPRVN_CD,POSESN_MBY_CTPRVN_NM,POSESN_MBY_SIGNGU_CD,POSESN_MBY_SIGNGU_NM,RSPNSBLTY_DEPT_NM,RSPNSBLTY_TEL_NO,ROAD_NM_CTPRVN_CD,ROAD_NM_CTPRVN_NM,ROAD_NM_SIGNGU_CD,ROAD_NM_SIGNGU_NM,ROAD_NM_EMD_CD,ROAD_NM_EMD_NM,ROAD_NM_LI_CD,ROAD_NM_LI_NM,RDNMADR_NM,FCLTY_LO,FCLTY_LA,FCLTY_AR_CO,ACMD_NMPR_CO,ADTM_CO,FCLTY_HMPG_URL,NATION_ALSFC_AT,FCLTY_STATE_CD,DEL_AT
강남스포츠문화센터골프연습장,공공,P17,골프연습장,P1701,골프연습장,01,1100000000,서울특별시,1168000000,강남구,,,1100000000,서울특별시,1168000000,강남구,,,,,강남구 수서동718,127.105338789,37.4889740581,201.0,,,http//life.gangnam.go.kr,N,00,N
강남스포츠문화센터수영장,공공,P11,수영장,P1101,수영장,01,1100000000,서울특별시,1168000000,강남구,문화체육과,02-3423-5955,1100000000,서울특별시,1168000000,강남구,1168011500,수서동,,,서울특별시 강남구 밤고개로1길 52 (수서동),127.105339918165,37.4889731560638,661.0,250.0,,http//life.gangnam.go.kr,N,00,N
강남스포츠문화센터체육관,공공,P09,체육관,P0903,생활체육관,01,1100000000,서울특별시,1168000000,강남구,문화체육과,02-3423-5955,1100000000,서울특별시,1168000000,강남구,1168011500,수서동,,,서울특별시 강남구 밤고개로1길 52 (수서동),127.105280820161,37.4890010498708,1031.0,,,http//life.gnagnam.go.kr,N,00,N
강북웰빙스포츠센터,공공,P09,체육관,P0903,생활체육관,01,1100000000,서울특별시,1130500000,강북구,,,1100000000,서울특별시,1130500000,강북구,1130510200,번동,,,서울특별시 강북구 오현로31길 51 (번동),127.0377698874,37.6304570844,11570.0,,,http://www.gangbukcmc.seoul.kr/index.php,N,00,N
개운산스포츠센터,공공,P09,체육관,P0903,생활체육관,01,1100000000,서울특별시,1129000000,성북구,개운산스포츠팀,,1100000000,서울특별시,1129000000,성북구,1129013500,종암동,,,서울특별시 성북구 북악산로 949-60 (종암동),127.026238833598,37.5968670281284,3273.0,,,https://www.gongden.go.kr/port,N,00,N
개웅산생활체육관,공공,P09,체육관,P0903,생활체육관,01,1100000000,서울특별시,1153000000,구로구,구로구민체육쎈타팀,02-1899-6828,1100000000,서울특별시,1153000000,구로구,1153010700,개봉동,,,서울특별시 구로구 개봉로3길 108-20 (개봉동),126.8497243317,37.4853070008,786.0,,,https://www.gurosisul.or.kr/mod.asp?m=business=b02-1=2,N,00,N
거제국민체육센터,공공,P09,체육관,P0903,생활체육관,01,2600000000,부산광역시,2600000000,부산광역시,,,2600000000,부산광역시,2647000000,연제구,2647010100,거제동,,,부산광역시 연제구 법원남로9번길 17(거제동),129.074289798203,35.1895110545428,,,,,N,00,N
거제국민체육센터,공공,P09,체육관,P0901,구기체육관,01,4800000000,경상남도,4831000000,거제시,교육체육과,055-639-3914,4800000000,경상남도,4831000000,거제시,4831034026,서정리,,,경상남도 거제시 거제면 거제남서로 3485-17,128.58154397731673,34.85180310256211,2860.0,800.0,525.0,https://www.yj-sports.or.kr/main.php,N,00,N
경주국민체육센터,공공,P09,체육관,P0903,생활체육관,01,4700000000,경상북도,4713000000,경주시,,,4700000000,경상북도,4713000000,경주시,4713012400,황성동,,,경상북도 경주시 유림로5번길 85-15 (황성동),129.2170900184,35.8790452998,1483.0,,,http://sports.gyeongju.go.kr/,N,00,N
경주국민체육센터수영장,공공,P11,수영장,P1101,수영장,01,4700000000,경상북도,4713000000,경주시,,,4700000000,경상북도,4713000000,경주시,4713012400,황성동,,,경상북도 경주시 유림로5번길 85-15 (황성동),129.2170900184,35.8790452998,1454.0,,,http://sports.gyeongju.go.kr/,N,00,N
계남근린공원테니스장,공공,P08,간이운동장,P0801,간이운동장,01,1100000000,서울특별시,1153000000,구로구,공원녹지과,02-860-3087,1100000000,서울특별시,1147000000,양천구,1147010100,신정동,,,"서울특별시 양천구 신정로 260 (신정동, 신트리4단지아파트)",126.85029167710826,37.51149094276272,661.0,,,https://yeyak.seoul.go.kr,N,00,N
고양국민체육센터,공공,P09,체육관,P0903,생활체육관,01,4100000000,경기도,4128000000,고양시,체육진흥과,031-8075-2342,4100000000,경기도,4128100000,고양시 덕양구,4128110600,성사동,,,경기도 고양시 덕양구 호국로 876 (성사동),126.8437231978,37.6627589803,2714.0,,,http://ssgym.gys.or.kr/,N,00,N
고양어울림누리내 꽃우물수영장,공공,P11,수영장,P1101,수영장,01,4100000000,경기도,4128000000,고양시,체육진흥과,031-8075-2342,4100000000,경기도,4128100000,고양시 덕양구,4128110600,성사동,,,경기도 고양시 덕양구 어울림로 33 (성사동),126.8353665942,37.6490563009,13400.0,556.0,,www.spart.gys.or.kr,N,00,N
고양어울림누리내 몸과마음닦음터(체육관),공공,P09,체육관,P0903,생활체육관,01,4100000000,경기도,4128000000,고양시,체육진흥과,031-8075-2342,4100000000,경기도,4128100000,고양시 덕양구,4128110600,성사동,,,경기도 고양시 덕양구 어울림로 33 (성사동),126.8353665942,37.6490563009,13400.0,,,www.spart.gys.or.kr,N,00,N
고양체육관,공공,P11,수영장,P1101,수영장,01,4100000000,경기도,4128000000,고양시,체육진흥과,031-8075-2341,4100000000,경기도,4128700000,고양시 일산서구,4128710400,대화동,,,경기도 고양시 일산서구 중앙로 1601 (대화동),126.7430655661,37.676421695,39370.0,1553.0,,www.gym.gys.or.kr,N,00,N
고양체육관,공공,P09,체육관,P0903,생활체육관,01,4100000000,경기도,4128000000,고양시,체육진흥과,031-8075-2341,4100000000,경기도,4128700000,고양시 일산서구,4128710400,대화동,,,경기도 고양시 일산서구 중앙로 1601 (대화동),126.7430655661,37.676421695,39370.0,,,www.gym.gys.or.kr,N,00,N
